Dutch,English
ik,I
je,you
het,it
de,the
dat,Which
is,is
een,a
niet,not
en,and
van,from
wat,what
we,we
in,in
ze,she
hij,he
te,to
zijn,to be
op,on
maar,but
er,there
met,with
voor,in front of
die,That
heb,have got
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,my
aan,On
u,you
dan,than
n,n
naar,to
weet,know
hier,here
zo,so
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,him
heeft,has
wel,well
moet,must
wil,want
hebben,to have
goed,good
haar,her
nee,No
hoe,how
nu,now
waar,true
over,about
ook,also
doen,to do
uit,from
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
ons,U.S
had,had
iets,something
daar,there
jullie,you
gaat,goes
zal,shall
m,m
hebt,have
kom,bowl
waarom,why
meer,Lake
deze,this one
moeten,should
t,t
laat,late
kunnen,can
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,really
doe,do
door,by
alleen,only
s,s
toch,However
zien,see
weg,away
eens,once
man,man
misschien,perhaps
laten,leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,coming
toen,then
veel,a lot of
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,required
mensen,people
tot,until
worden,turn into
zeggen,say
tijd,time
weer,weather
leven,life
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,is
wordt,is going to be
z,z
hou,love
kijk,look
heel,very
wij,we
altijd,always
mag,allowed
gedaan,done
dood,death
zeker,certainly
af,down
jaar,year
hun,their
wilde,wanted to
dag,day
allemaal,all of them
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,wait
zie,see
vrouw,woman
keer,time
andere,Others
zoals,such as
zij,she
dank,thanks
anders,different
geef,give
waren,goods
willen,want
zich,herself
bedankt,thanks
één,a
mr,mr
erg,very
wilt,To
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everybody
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,state
gezien,seen
niks,nothing
binnen,within
zitten,to sit
zullen,will
na,after
helpen,help out
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed